Gene_family	PANTHER/CDD	ID	Description
Fox	CDD	gnl|CDD|410810	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_R_(FOXR)_subfamily
Fox	CDD	gnl|CDD|410811	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_S1_(FOXS1)
Fox	CDD	gnl|CDD|410812	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_A1_(FOXA1)_and_similar_proteins
Fox	CDD	gnl|CDD|410813	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_A2_(FOXA2)_and_similar_proteins
Fox	CDD	gnl|CDD|410814	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_A3_(FOXA3)_and_similar_proteins
Fox	CDD	gnl|CDD|410816	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_B1_(FOXB1)_and_similar_proteins
Fox	CDD	gnl|CDD|410817	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_B2_(FOXB2)_and_similar_proteins
Fox	CDD	gnl|CDD|410818	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_C1_(FOXC1)_and_similar_proteins
Fox	CDD	gnl|CDD|410819	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_C2_(FOXC2)_and_similar_proteins
Fox	CDD	gnl|CDD|410820	Forkhead_(FH)_domain_found_in_Forkhead_box_proteins_FOXD1,_FOXD2_and_similar_proteins
Fox	CDD	gnl|CDD|410821	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_D3_(FOXD3)_and_similar_proteins
Fox	CDD	gnl|CDD|410822	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_D4_(FOXD4)_and_similar_proteins
Fox	CDD	gnl|CDD|410823	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_F1_(FOXF1)_and_similar_proteins
Fox	CDD	gnl|CDD|410824	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_F2_(FOXF2)_and_similar_proteins
Fox	CDD	gnl|CDD|410825	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_J2_(FOXJ2)_and_similar_proteins
Fox	CDD	gnl|CDD|410826	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_J3_(FOXJ3)_and_similar_proteins
Fox	CDD	gnl|CDD|410827	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_I1_(FOXI1)_and_similar_proteins
Fox	CDD	gnl|CDD|410828	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_K1_(FOXK1)_and_similar_proteins
Fox	CDD	gnl|CDD|410829	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_K2_(FOXK2)_and_similar_proteins
Fox	CDD	gnl|CDD|410830	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_N1_(FOXN1)
Fox	CDD	gnl|CDD|410831	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_N4_(FOXN4)
Fox	CDD	gnl|CDD|410832	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_N2_(FOXN2)
